Year,Month,DayofMonth,DayOfWeek,Carrier,OriginAirportID,DestAirportID,CRSDepTime,DepDelay,DepDel15,CRSArrTime,ArrDelay,ArrDel15,Cancelled
2013,8,3,6,DL,10397,14747,1754,-3,0,2013,-5,0,0
2013,4,21,7,DL,11193,13204,905,-7,0,1112,2,0,0
2013,7,9,2,AA,11298,13487,2025,35,1,2245,25,1,0
2013,5,23,4,B6,11057,10721,1000,-9,0,1208,-18,0,0
2013,5,2,4,AA,13930,11298,740,-3,0,1010,-6,0,0
2013,6,29,6,AS,14679,13204,2220,6,0,550,20,1,0
2013,8,13,2,OO,12266,13342,1715,90,1,1955,77,1,0
2013,10,30,3,WN,13851,12889,1700,19,1,1745,34,1,0
2013,4,29,1,WN,11292,11433,1940,9,0,20,12,0,0
2013,6,2,7,AS,14747,13487,655,5,0,1210,1,0,0
2013,5,30,4,UA,13930,13487,1035,-8,0,1201,-18,0,0
2013,8,18,7,MQ,11292,13930,1245,25,1,1600,33,1,0
2013,10,30,3,FL,13232,13204,710,-1,0,1045,-4,0,0
2013,8,30,5,B6,13930,10721,1254,-6,0,1614,-13,0,0
2013,4,9,2,WN,14893,14908,840,0,0,1005,-14,0,0
2013,10,7,1,WN,14679,10423,1335,0,0,1810,8,0,0
2013,5,8,3,US,11057,14492,1622,7,0,1714,12,0,0
2013,8,29,4,EV,12266,13871,1252,-5,0,1504,-1,0,0
2013,4,14,7,WN,11433,13232,1550,10,0,1605,9,0,0
2013,8,5,1,AA,10397,11298,1800,-7,0,1930,-15,0,0
2013,10,23,3,WN,14100,13232,2015,96,1,2140,68,1,0
2013,6,20,4,US,12478,14107,645,-6,0,908,-21,0,0
2013,7,6,6,WN,10821,14730,1955,-2,0,2130,1,0,0
2013,10,20,7,AS,13796,13830,700,13,0,911,47,1,0
2013,9,6,5,VX,14679,14771,915,-1,0,1045,-13,0,0
2013,8,15,4,US,14100,10529,2035,4,0,2140,12,0,0
2013,10,3,4,WN,12892,13198,1825,7,0,2330,1,0,0
2013,7,12,5,AA,11298,12451,1855,41,1,2215,42,1,0
2013,7,2,2,UA,13204,11618,941,2,0,1220,-3,0,0
2013,8,14,3,OO,13487,13232,700,-2,0,833,1,0,0
2013,7,10,3,UA,11618,14679,1741,42,1,2037,36,1,0
2013,10,26,6,WN,13232,11433,1550,14,0,1805,-6,0,0
2013,8,3,6,UA,13930,13204,1310,-1,0,1653,-27,0,0
2013,10,11,5,DL,11697,12953,1805,77,1,2105,89,1,0
2013,10,7,1,9E,12478,13487,1820,143,1,2034,151,1,0
2013,5,6,1,WN,11259,12191,1430,11,0,1535,5,0,0
2013,6,13,4,OO,12892,14679,1844,34,1,1943,25,1,0
2013,9,26,4,AA,12892,10529,2355,-1,0,810,-9,0,0
2013,9,28,6,OO,13342,13930,1320,-5,0,1407,-17,0,0
2013,5,9,4,US,14100,13487,1335,-8,0,1526,-28,0,0
2013,8,7,3,AA,11298,11278,1015,-3,0,1410,40,1,0
2013,7,15,1,AA,13204,11298,930,-6,0,1110,-3,0,0
2013,8,12,1,WN,14679,10140,1755,56,1,2035,51,1,0
2013,9,25,3,AA,13930,14107,1455,0,0,1635,-2,0,0
2013,10,27,7,US,14100,14683,1800,-8,0,2115,-34,0,0
2013,8,28,3,DL,11278,10397,1200,-7,0,1348,-23,0,0
2013,6,27,4,AA,13930,14492,1020,-4,0,1315,-12,0,0
